layer,language_accuracy,language_macro_f1,language_n_classes,language_chance,speaker_accuracy,speaker_macro_f1,speaker_n_classes,speaker_chance,normalized_speaker_leakage
0,0.5867,0.5752,5,0.2,0.97,0.9613,50,0.02,0.9694
1,0.6333,0.6261,5,0.2,0.99,0.9893,50,0.02,0.9898
2,0.7267,0.7134,5,0.2,0.99,0.9893,50,0.02,0.9898
3,0.7467,0.7427,5,0.2,0.98,0.972,50,0.02,0.9796
4,0.8067,0.803,5,0.2,0.99,0.9893,50,0.02,0.9898
5,0.84,0.8361,5,0.2,0.99,0.9893,50,0.02,0.9898
6,0.88,0.8761,5,0.2,0.99,0.9893,50,0.02,0.9898
7,0.9333,0.9324,5,0.2,1.0,1.0,50,0.02,1.0
8,0.9533,0.9532,5,0.2,1.0,1.0,50,0.02,1.0
9,0.94,0.9398,5,0.2,0.99,0.9893,50,0.02,0.9898
10,0.96,0.9601,5,0.2,1.0,1.0,50,0.02,1.0
11,0.9467,0.9462,5,0.2,0.99,0.9893,50,0.02,0.9898
12,0.9533,0.9526,5,0.2,0.99,0.9893,50,0.02,0.9898
13,0.9667,0.9664,5,0.2,0.99,0.9893,50,0.02,0.9898
14,0.9467,0.9461,5,0.2,0.99,0.9893,50,0.02,0.9898
15,0.94,0.9394,5,0.2,0.97,0.968,50,0.02,0.9694
16,0.96,0.9596,5,0.2,0.99,0.9893,50,0.02,0.9898
17,0.9533,0.9526,5,0.2,0.99,0.9893,50,0.02,0.9898
18,0.94,0.9387,5,0.2,1.0,1.0,50,0.02,1.0
19,0.9,0.8986,5,0.2,0.99,0.9893,50,0.02,0.9898
20,0.8933,0.8912,5,0.2,0.99,0.9893,50,0.02,0.9898
21,0.86,0.8579,5,0.2,0.99,0.9893,50,0.02,0.9898
22,0.7333,0.7326,5,0.2,0.95,0.944,50,0.02,0.949
23,0.74,0.7398,5,0.2,0.96,0.9513,50,0.02,0.9592
24,0.8267,0.8219,5,0.2,0.98,0.9733,50,0.02,0.9796
